26,21,19,27,80,66,41,48,18,6
21,19,27,80,66,41,48,18,6,25
19,27,80,66,41,48,18,6,25,48
27,80,66,41,48,18,6,25,48,10
80,66,41,48,18,6,25,48,10,29
66,41,48,18,6,25,48,10,29,9
41,48,18,6,25,48,10,29,9,24
48,18,6,25,48,10,29,9,24,27
18,6,25,48,10,29,9,24,27,17
6,25,48,10,29,9,24,27,17,64
25,48,10,29,9,24,27,17,64,61
48,10,29,9,24,27,17,64,61,30
10,29,9,24,27,17,64,61,30,22
29,9,24,27,17,64,61,30,22,31
9,24,27,17,64,61,30,22,31,22
6,13,46,32,4,0,4,12,8,11
13,46,32,4,0,4,12,8,11,26
46,32,4,0,4,12,8,11,26,46
32,4,0,4,12,8,11,26,46,42
4,0,4,12,8,11,26,46,42,65
0,4,12,8,11,26,46,42,65,2
4,12,8,11,26,46,42,65,2,27
12,8,11,26,46,42,65,2,27,13
8,11,26,46,42,65,2,27,13,51
11,26,46,42,65,2,27,13,51,0
26,46,42,65,2,27,13,51,0,24
46,42,65,2,27,13,51,0,24,28
42,65,2,27,13,51,0,24,28,5
65,2,27,13,51,0,24,28,5,4
2,27,13,51,0,24,28,5,4,23
4,9,62,46,6,7,36,58,27,26
9,62,46,6,7,36,58,27,26,40
62,46,6,7,36,58,27,26,40,23
46,6,7,36,58,27,26,40,23,38
6,7,36,58,27,26,40,23,38,17
7,36,58,27,26,40,23,38,17,50
36,58,27,26,40,23,38,17,50,9
58,27,26,40,23,38,17,50,9,29
27,26,40,23,38,17,50,9,29,41
26,40,23,38,17,50,9,29,41,57
40,23,38,17,50,9,29,41,57,15
23,38,17,50,9,29,41,57,15,16
38,17,50,9,29,41,57,15,16,13
17,50,9,29,41,57,15,16,13,27
50,9,29,41,57,15,16,13,27,29
26,37,22,22,23,31,17,27,25,5
37,22,22,23,31,17,27,25,5,10
22,22,23,31,17,27,25,5,10,21
22,23,31,17,27,25,5,10,21,11
23,31,17,27,25,5,10,21,11,2
31,17,27,25,5,10,21,11,2,9
17,27,25,5,10,21,11,2,9,10
27,25,5,10,21,11,2,9,10,5
25,5,10,21,11,2,9,10,5,39
5,10,21,11,2,9,10,5,39,9
10,21,11,2,9,10,5,39,9,17
21,11,2,9,10,5,39,9,17,8
11,2,9,10,5,39,9,17,8,0
2,9,10,5,39,9,17,8,0,16
9,10,5,39,9,17,8,0,16,0
1,19,4,0,18,34,5,9,27,4
19,4,0,18,34,5,9,27,4,11
4,0,18,34,5,9,27,4,11,17
0,18,34,5,9,27,4,11,17,8
18,34,5,9,27,4,11,17,8,12
34,5,9,27,4,11,17,8,12,0
5,9,27,4,11,17,8,12,0,1
9,27,4,11,17,8,12,0,1,34
27,4,11,17,8,12,0,1,34,6
4,11,17,8,12,0,1,34,6,14
11,17,8,12,0,1,34,6,14,3
17,8,12,0,1,34,6,14,3,22
8,12,0,1,34,6,14,3,22,5
12,0,1,34,6,14,3,22,5,7
0,1,34,6,14,3,22,5,7,6
17,25,18,29,7,22,37,11,18,29
25,18,29,7,22,37,11,18,29,9
18,29,7,22,37,11,18,29,9,2
29,7,22,37,11,18,29,9,2,9
7,22,37,11,18,29,9,2,9,14
22,37,11,18,29,9,2,9,14,19
37,11,18,29,9,2,9,14,19,12
11,18,29,9,2,9,14,19,12,18
18,29,9,2,9,14,19,12,18,24
29,9,2,9,14,19,12,18,24,9
9,2,9,14,19,12,18,24,9,26
2,9,14,19,12,18,24,9,26,9
9,14,19,12,18,24,9,26,9,22
14,19,12,18,24,9,26,9,22,27
19,12,18,24,9,26,9,22,27,7
17,11,23,8,6,4,11,5,2,20
11,23,8,6,4,11,5,2,20,10
23,8,6,4,11,5,2,20,10,16
8,6,4,11,5,2,20,10,16,15
6,4,11,5,2,20,10,16,15,6
4,11,5,2,20,10,16,15,6,0
11,5,2,20,10,16,15,6,0,5
5,2,20,10,16,15,6,0,5,20
2,20,10,16,15,6,0,5,20,14
20,10,16,15,6,0,5,20,14,16
10,16,15,6,0,5,20,14,16,12
16,15,6,0,5,20,14,16,12,20
15,6,0,5,20,14,16,12,20,25
6,0,5,20,14,16,12,20,25,20
0,5,20,14,16,12,20,25,20,29
19,4,15,23,10,4,18,20,20,34
4,15,23,10,4,18,20,20,34,31
15,23,10,4,18,20,20,34,31,41
23,10,4,18,20,20,34,31,41,12
10,4,18,20,20,34,31,41,12,7
4,18,20,20,34,31,41,12,7,19
18,20,20,34,31,41,12,7,19,24
20,20,34,31,41,12,7,19,24,9
20,34,31,41,12,7,19,24,9,25
34,31,41,12,7,19,24,9,25,31
31,41,12,7,19,24,9,25,31,16
41,12,7,19,24,9,25,31,16,1
12,7,19,24,9,25,31,16,1,0
7,19,24,9,25,31,16,1,0,6
19,24,9,25,31,16,1,0,6,16
7,7,31,32,20,6,24,41,92,29
7,31,32,20,6,24,41,92,29,17
31,32,20,6,24,41,92,29,17,9
32,20,6,24,41,92,29,17,9,12
20,6,24,41,92,29,17,9,12,22
6,24,41,92,29,17,9,12,22,15
24,41,92,29,17,9,12,22,15,32
41,92,29,17,9,12,22,15,32,24
92,29,17,9,12,22,15,32,24,3
29,17,9,12,22,15,32,24,3,11
17,9,12,22,15,32,24,3,11,21
9,12,22,15,32,24,3,11,21,14
12,22,15,32,24,3,11,21,14,9
22,15,32,24,3,11,21,14,9,9
15,32,24,3,11,21,14,9,9,0
-1,6,9,10,22,14,20,21,20,7
6,9,10,22,14,20,21,20,7,8
9,10,22,14,20,21,20,7,8,27
10,22,14,20,21,20,7,8,27,4
22,14,20,21,20,7,8,27,4,18
14,20,21,20,7,8,27,4,18,23
20,21,20,7,8,27,4,18,23,6
21,20,7,8,27,4,18,23,6,24
20,7,8,27,4,18,23,6,24,26
7,8,27,4,18,23,6,24,26,49
8,27,4,18,23,6,24,26,49,5
27,4,18,23,6,24,26,49,5,21
4,18,23,6,24,26,49,5,21,0
18,23,6,24,26,49,5,21,0,14
23,6,24,26,49,5,21,0,14,6
39,23,25,27,80,55,32,53,15,7
23,25,27,80,55,32,53,15,7,21
25,27,80,55,32,53,15,7,21,56
27,80,55,32,53,15,7,21,56,10
80,55,32,53,15,7,21,56,10,23
55,32,53,15,7,21,56,10,23,4
32,53,15,7,21,56,10,23,4,16
53,15,7,21,56,10,23,4,16,25
15,7,21,56,10,23,4,16,25,26
7,21,56,10,23,4,16,25,26,52
21,56,10,23,4,16,25,26,52,59
56,10,23,4,16,25,26,52,59,32
10,23,4,16,25,26,52,59,32,20
23,4,16,25,26,52,59,32,20,26
4,16,25,26,52,59,32,20,26,27
6,22,44,35,6,0,0,7,8,6
22,44,35,6,0,0,7,8,6,17
44,35,6,0,0,7,8,6,17,38
35,6,0,0,7,8,6,17,38,39
6,0,0,7,8,6,17,38,39,61
0,0,7,8,6,17,38,39,61,2
0,7,8,6,17,38,39,61,2,25
7,8,6,17,38,39,61,2,25,7
8,6,17,38,39,61,2,25,7,62
6,17,38,39,61,2,25,7,62,2
17,38,39,61,2,25,7,62,2,26
38,39,61,2,25,7,62,2,26,19
39,61,2,25,7,62,2,26,19,9
61,2,25,7,62,2,26,19,9,7
2,25,7,62,2,26,19,9,7,21
4,4,63,46,5,19,37,54,16,25
4,63,46,5,19,37,54,16,25,44
63,46,5,19,37,54,16,25,44,22
46,5,19,37,54,16,25,44,22,27
5,19,37,54,16,25,44,22,27,16
19,37,54,16,25,44,22,27,16,45
37,54,16,25,44,22,27,16,45,3
54,16,25,44,22,27,16,45,3,36
16,25,44,22,27,16,45,3,36,38
25,44,22,27,16,45,3,36,38,57
44,22,27,16,45,3,36,38,57,9
22,27,16,45,3,36,38,57,9,19
27,16,45,3,36,38,57,9,19,16
16,45,3,36,38,57,9,19,16,28
45,3,36,38,57,9,19,16,28,31
39,42,19,23,21,20,23,22,33,9
42,19,23,21,20,23,22,33,9,9
19,23,21,20,23,22,33,9,9,20
23,21,20,23,22,33,9,9,20,14
21,20,23,22,33,9,9,20,14,-1
20,23,22,33,9,9,20,14,-1,-1
23,22,33,9,9,20,14,-1,-1,3
22,33,9,9,20,14,-1,-1,3,6
33,9,9,20,14,-1,-1,3,6,39
9,9,20,14,-1,-1,3,6,39,2
9,20,14,-1,-1,3,6,39,2,8
20,14,-1,-1,3,6,39,2,8,9
14,-1,-1,3,6,39,2,8,9,0
-1,-1,3,6,39,2,8,9,0,21
-1,3,6,39,2,8,9,0,21,0
1,22,4,0,15,23,9,6,13,6
22,4,0,15,23,9,6,13,6,5
4,0,15,23,9,6,13,6,5,12
0,15,23,9,6,13,6,5,12,3
15,23,9,6,13,6,5,12,3,13
23,9,6,13,6,5,12,3,13,0
9,6,13,6,5,12,3,13,0,0
6,13,6,5,12,3,13,0,0,29
13,6,5,12,3,13,0,0,29,15
6,5,12,3,13,0,0,29,15,26
5,12,3,13,0,0,29,15,26,3
12,3,13,0,0,29,15,26,3,14
3,13,0,0,29,15,26,3,14,5
13,0,0,29,15,26,3,14,5,10
0,0,29,15,26,3,14,5,10,6
10,28,49,41,8,15,32,12,15,17
28,49,41,8,15,32,12,15,17,10
49,41,8,15,32,12,15,17,10,5
41,8,15,32,12,15,17,10,5,0
8,15,32,12,15,17,10,5,0,7
15,32,12,15,17,10,5,0,7,13
32,12,15,17,10,5,0,7,13,10
12,15,17,10,5,0,7,13,10,12
15,17,10,5,0,7,13,10,12,23
17,10,5,0,7,13,10,12,23,5
10,5,0,7,13,10,12,23,5,27
5,0,7,13,10,12,23,5,27,14
0,7,13,10,12,23,5,27,14,20
7,13,10,12,23,5,27,14,20,23
13,10,12,23,5,27,14,20,23,3
17,9,25,6,6,11,2,6,6,10
9,25,6,6,11,2,6,6,10,8
25,6,6,11,2,6,6,10,8,7
6,6,11,2,6,6,10,8,7,14
6,11,2,6,6,10,8,7,14,0
11,2,6,6,10,8,7,14,0,0
2,6,6,10,8,7,14,0,0,12
6,6,10,8,7,14,0,0,12,21
6,10,8,7,14,0,0,12,21,11
10,8,7,14,0,0,12,21,11,27
8,7,14,0,0,12,21,11,27,9
7,14,0,0,12,21,11,27,9,20
14,0,0,12,21,11,27,9,20,26
0,0,12,21,11,27,9,20,26,21
0,12,21,11,27,9,20,26,21,28
18,5,16,22,2,4,23,8,23,26
5,16,22,2,4,23,8,23,26,27
16,22,2,4,23,8,23,26,27,41
22,2,4,23,8,23,26,27,41,15
2,4,23,8,23,26,27,41,15,11
4,23,8,23,26,27,41,15,11,16
23,8,23,26,27,41,15,11,16,28
8,23,26,27,41,15,11,16,28,9
23,26,27,41,15,11,16,28,9,27
26,27,41,15,11,16,28,9,27,24
27,41,15,11,16,28,9,27,24,9
41,15,11,16,28,9,27,24,9,8
15,11,16,28,9,27,24,9,8,7
11,16,28,9,27,24,9,8,7,6
16,28,9,27,24,9,8,7,6,8
5,17,29,23,18,14,26,39,97,37
17,29,23,18,14,26,39,97,37,15
29,23,18,14,26,39,97,37,15,7
23,18,14,26,39,97,37,15,7,8
18,14,26,39,97,37,15,7,8,18
14,26,39,97,37,15,7,8,18,19
26,39,97,37,15,7,8,18,19,41
39,97,37,15,7,8,18,19,41,24
97,37,15,7,8,18,19,41,24,0
37,15,7,8,18,19,41,24,0,6
15,7,8,18,19,41,24,0,6,16
7,8,18,19,41,24,0,6,16,11
8,18,19,41,24,0,6,16,11,6
18,19,41,24,0,6,16,11,6,4
19,41,24,0,6,16,11,6,4,0
-1,12,3,8,17,6,5,21,20,2
12,3,8,17,6,5,21,20,2,6
3,8,17,6,5,21,20,2,6,15
8,17,6,5,21,20,2,6,15,11
17,6,5,21,20,2,6,15,11,19
6,5,21,20,2,6,15,11,19,11
5,21,20,2,6,15,11,19,11,14
21,20,2,6,15,11,19,11,14,16
20,2,6,15,11,19,11,14,16,19
2,6,15,11,19,11,14,16,19,57
6,15,11,19,11,14,16,19,57,9
15,11,19,11,14,16,19,57,9,26
11,19,11,14,16,19,57,9,26,2
19,11,14,16,19,57,9,26,2,16
11,14,16,19,57,9,26,2,16,1
36,30,27,14,76,46,35,60,9,7
30,27,14,76,46,35,60,9,7,25
27,14,76,46,35,60,9,7,25,62
14,76,46,35,60,9,7,25,62,10
76,46,35,60,9,7,25,62,10,21
46,35,60,9,7,25,62,10,21,8
35,60,9,7,25,62,10,21,8,7
60,9,7,25,62,10,21,8,7,22
9,7,25,62,10,21,8,7,22,25
7,25,62,10,21,8,7,22,25,36
25,62,10,21,8,7,22,25,36,60
62,10,21,8,7,22,25,36,60,36
10,21,8,7,22,25,36,60,36,13
21,8,7,22,25,36,60,36,13,17
8,7,22,25,36,60,36,13,17,22
4,29,38,25,0,4,2,7,4,1
29,38,25,0,4,2,7,4,1,7
38,25,0,4,2,7,4,1,7,34
25,0,4,2,7,4,1,7,34,29
0,4,2,7,4,1,7,34,29,57
