id,value
id_0,22
id_1,0
id_2,14
id_3,0
id_4,0
id_5,14
id_6,0
id_7,22
id_8,0
id_9,24
id_10,0
id_11,16
id_12,0
id_13,0
id_14,9
id_15,0
id_16,16
id_17,0
id_18,13
id_19,0
id_20,14
id_21,0
id_22,0
id_23,0
id_24,0
id_25,16
id_26,0
id_27,11
id_28,0
id_29,6
id_30,0
id_31,0
id_32,0
id_33,0
id_34,16
id_35,0
id_36,0
id_37,0
id_38,6
id_39,0
id_40,0
id_41,11
id_42,0
id_43,24
id_44,0
id_45,9
id_46,0
id_47,16
id_48,0
id_49,0
id_50,11
id_51,0
id_52,18
id_53,0
id_54,6
id_55,0
id_56,21
id_57,0
id_58,0
id_59,0
id_60,0
id_61,11
id_62,0
id_63,21
id_64,0
id_65,14
id_66,0
id_67,0
id_68,18
id_69,0
id_70,16
id_71,0
id_72,0
id_73,0
id_74,21
id_75,0
id_76,0
id_77,6
id_78,0
id_79,13
id_80,0
id_81,16
id_82,0
id_83,21
id_84,0
id_85,0
id_86,9
id_87,0
id_88,15
id_89,0
id_90,16
id_91,0
id_92,21
id_93,0
id_94,0
id_95,9
id_96,0
id_97,19
id_98,0
id_99,21
id_100,0
id_101,21
id_102,0
id_103,0
id_104,11
id_105,0
id_106,16
id_107,0
id_108,6
id_109,0
id_110,6
id_111,0
id_112,0
id_113,18
id_114,0
id_115,11
id_116,0
id_117,11
id_118,0
id_119,21
id_120,0
id_121,0
id_122,16
id_123,0
id_124,6
id_125,0
id_126,16
id_127,0
id_128,21
id_129,0
id_130,0
id_131,0
id_132,0
id_133,23
id_134,0
id_135,6
id_136,0
id_137,0
id_138,0
id_139,0
id_140,11
id_141,0
id_142,16
id_143,0
id_144,6
id_145,0
id_146,0
id_147,0
id_148,0
id_149,9
id_150,0
id_151,18
id_152,0
id_153,0
id_154,0
id_155,21
id_156,0
id_157,0
id_158,9
id_159,0
id_160,16
id_161,0
id_162,9
id_163,0
id_164,0
id_165,0
id_166,0
id_167,0
id_168,0
id_169,24
id_170,0
id_171,17
id_172,0
id_173,16
id_174,0
id_175,0
id_176,0
id_177,0
id_178,18
id_179,0
id_180,9
id_181,0
id_182,6
id_183,0
id_184,0
id_185,0
id_186,0
id_187,0
id_188,0
id_189,16
id_190,0
id_191,21
id_192,0
id_193,0
id_194,0
id_195,0
id_196,11
id_197,0
id_198,11
id_199,0
id_200,21
id_201,0
id_202,0
id_203,0
id_204,0
id_205,11
id_206,0
id_207,9
id_208,0
id_209,0
id_210,0
id_211,0
id_212,0
id_213,0
id_214,11
id_215,0
id_216,0
id_217,0
id_218,16
id_219,0
id_220,0
id_221,0
id_222,0
id_223,19
id_224,0
id_225,18
id_226,0
id_227,21
id_228,0
id_229,0
id_230,0
id_231,0
id_232,16
id_233,0
id_234,0
id_235,0
id_236,0
id_237,0
id_238,0
id_239,0
