246,203,186
205,149,136
228,169,153
238,170,149
234,171,153
240,160,151
239,173,161
209,141,122
240,166,155
255,232,220
253,227,210
255,225,216
226,189,160
242,213,207
133,99,89
150,110,100
238,201,185
241,198,191
238,206,193
251,221,223
247,201,201
255,222,226
230,189,187
228,181,187
222,187,168
241,209,188
197,165,152
204,168,152
231,190,170
249,208,178
255,208,177
248,209,178
230,169,148
198,159,142
245,186,152
233,167,143
254,210,183
218,143,122
245,176,160
187,130,110
218,138,127
171,113,99
207,122,115
180,116,107
182,109,100
220,147,128
174,111,119
211,123,111
200,122,118
237,213,209
200,150,143
218,167,163
220,186,174
249,227,229
234,199,197
255,241,242
254,220,247
255,216,243
255,223,250
255,233,254
218,163,132
241,190,163
228,173,152
222,166,139
226,158,135
217,156,127
222,168,142
187,139,117
223,175,153
233,182,197
243,209,225
236,189,207
238,198,163
236,192,167
243,204,189
151,107,98
145,87,85
174,118,121
167,124,117
251,202,185
216,158,146
251,224,217
255,220,204
255,220,204
233,186,178
207,155,144
223,166,159
245,202,193
236,203,214
236,201,208
245,219,222
237,206,211
253,213,214
252,185,194
203,169,168
200,159,157
208,170,169
180,150,148
215,180,178
200,162,161
226,197,189
216,183,178
241,237,238
215,185,177
235,206,202
217,182,180
229,203,202
211,179,180
239,184,164
214,167,137
233,184,170
218,162,147
195,149,126
240,206,205
239,209,209
232,192,180
231,202,188
206,171,175
242,217,223
251,206,187
255,235,224
255,229,218
255,227,203
253,209,182
150,118,123
201,169,180
215,189,190
238,214,228
174,145,165
238,211,228
239,190,158
239,189,178
252,211,189
249,206,174
221,162,132
212,128,118
221,158,141
229,173,148
255,207,197
255,227,211
231,167,157
203,141,130
238,187,156
239,174,170
249,200,183
199,139,129
220,172,152
223,153,141
251,217,208
